Frame No.,Vessel ID,X1,Y1,X2,Y2
0,2,883,433,915,444
0,1,724,679,742,686
1,2,884,432,916,443
1,1,720,681,736,686
2,2,885,431,917,443
2,1,720,681,735,686
3,2,887,431,919,443
3,1,721,682,735,687
4,2,886,431,919,444
4,1,721,681,735,686
5,2,887,431,920,444
6,2,887,431,920,444
7,2,887,431,921,444
8,2,887,430,922,444
9,2,888,431,923,444
10,2,889,431,924,444
11,2,889,431,925,444
12,2,890,431,927,444
13,2,891,430,928,444
14,2,892,430,929,444
15,2,892,429,930,444
16,2,892,430,930,443
17,2,892,429,931,443
18,2,897,429,934,442
19,2,899,428,934,442
20,2,900,429,935,442
21,2,900,431,935,443
22,2,900,432,935,443
23,2,902,432,937,443
24,2,902,433,937,442
25,2,904,431,938,441
26,2,905,433,939,442
27,2,905,432,940,442
28,2,906,431,943,442
29,2,907,430,945,442
30,2,907,432,946,443
31,2,908,432,948,443
32,2,909,432,950,443
33,2,909,432,949,443
34,2,909,432,948,443
35,2,910,432,948,442
36,2,915,433,950,442
37,2,917,434,951,442
38,2,919,433,952,442
39,2,919,433,952,441
40,2,920,433,952,441
41,2,920,433,952,442
42,2,920,433,952,442
43,2,920,434,952,443
44,2,921,433,953,442
45,2,921,433,954,443
46,2,923,433,956,442
47,2,923,433,957,443
48,2,924,433,958,442
49,2,925,434,959,442
50,2,926,434,962,442
51,2,927,434,963,441
52,2,927,435,962,442
53,2,927,435,963,442
54,21,723,680,741,685
54,2,928,433,963,441
55,21,723,680,741,685
55,2,930,434,965,441
56,21,722,679,738,683
56,2,931,433,965,441
57,21,723,679,736,683
57,2,933,432,968,441
58,2,934,433,971,441
59,2,935,433,972,441
60,2,935,432,973,441
61,2,935,433,973,442
62,2,936,434,972,442
63,2,936,434,971,442
64,2,940,434,973,441
65,2,943,434,973,441
66,2,944,434,973,441
67,2,946,435,975,441
68,2,947,434,976,441
69,2,948,433,978,440
70,2,949,434,978,440
71,2,950,434,979,441
72,2,951,433,982,440
73,2,952,433,983,440
74,2,952,434,982,440
75,2,954,432,985,440
76,2,954,434,986,440
77,2,954,433,985,440
78,2,955,432,985,440
79,2,955,432,985,440
80,2,956,432,985,440
81,2,958,432,988,440
82,2,959,432,989,440
83,2,959,432,989,440
84,2,960,432,990,441
85,2,960,432,991,441
86,2,960,432,990,441
87,2,961,432,991,441
88,2,961,432,990,441
89,2,963,431,991,441
90,2,964,431,992,441
91,2,963,431,991,441
92,2,965,431,992,441
93,2,966,431,993,440
94,2,969,431,996,440
95,2,970,431,997,440
96,2,970,431,998,440
97,2,970,431,997,440
98,2,969,432,997,440
99,2,969,432,997,440
100,2,968,432,997,439
101,2,970,432,999,440
102,2,970,432,1000,440
103,2,972,432,1000,440
104,35,721,680,736,687
104,2,974,431,1001,440
105,2,976,432,1003,440
106,2,976,431,1003,440
107,2,977,431,1006,440
108,2,977,431,1004,440
109,2,976,432,1003,440
110,2,979,430,1008,439
111,2,977,429,1006,439
112,2,978,429,1006,439
113,2,978,429,1006,439
114,2,979,429,1006,439
115,2,979,429,1006,439
116,2,982,428,1007,439
117,2,985,428,1012,439
118,2,987,428,1015,439
119,2,988,427,1017,438
120,2,988,428,1019,439
121,2,988,428,1020,439
122,2,985,428,1019,439
123,2,983,428,1019,439
124,2,983,427,1020,439
125,2,983,428,1021,439
126,2,986,428,1023,439
127,2,988,428,1024,439
128,2,990,429,1025,439
129,2,990,429,1023,439
130,2,989,429,1020,439
131,2,990,429,1023,439
132,2,987,430,1019,440
133,2,986,431,1017,440
134,2,990,430,1023,439
135,2,990,429,1026,439
136,2,991,429,1028,439
137,2,991,428,1030,438
138,2,991,429,1032,439
139,2,994,429,1034,438
140,2,994,430,1035,439
146,51,721,680,736,687
147,52,997,431,1013,439
148,52,998,431,1017,439
149,52,1001,430,1031,440
153,55,1000,434,1016,439
154,55,1000,434,1016,439
155,55,1001,434,1016,439
156,55,1001,434,1016,439
157,55,1001,433,1017,438
158,55,1001,433,1016,438
159,55,1004,432,1017,437
160,55,1006,433,1019,438
161,55,1006,433,1019,438
162,55,1008,433,1019,437
163,55,1009,434,1020,437
167,55,1014,434,1024,437
175,71,1020,432,1023,438
187,80,1055,429,1064,435
188,80,1055,429,1065,434
189,80,1056,429,1067,435
190,80,1056,429,1067,436
191,80,1058,429,1068,435
192,83,1034,432,1036,437
192,80,1059,428,1068,435
193,83,1035,432,1037,437
193,80,1060,428,1070,435
194,83,1036,432,1038,437
194,80,1060,428,1070,435
195,83,1037,432,1040,437
195,80,1060,428,1071,433
196,83,1037,432,1040,437
196,80,1060,428,1071,434
197,83,1038,431,1041,437
197,80,1061,429,1071,434
198,83,1038,431,1041,437
198,80,1062,429,1073,435
199,83,1039,431,1042,437
199,80,1063,429,1074,436
206,99,1048,428,1077,437
207,99,1047,428,1078,437
208,99,1047,428,1080,437
209,99,1047,428,1081,437
210,99,1047,428,1081,437
211,99,1048,428,1082,437
212,99,1049,428,1083,437
213,99,1050,427,1084,436
214,99,1051,427,1085,436
215,99,1052,427,1085,436
216,99,1053,427,1085,437
217,99,1056,428,1089,436
218,99,1056,427,1091,436
219,99,1056,427,1092,436
220,99,1056,427,1094,434
221,99,1057,427,1093,434
222,99,1058,428,1093,435
223,99,1058,429,1094,436
224,99,1060,429,1096,436
225,99,1060,429,1095,436
226,107,721,680,736,687
226,99,1060,429,1096,436
227,99,1063,429,1098,436
228,99,1063,428,1099,436
229,99,1064,428,1099,436
230,99,1064,428,1099,436
231,99,1065,428,1100,434
232,99,1066,429,1102,435
233,99,1069,429,1103,435
234,99,1070,429,1104,436
235,99,1072,429,1105,436
236,99,1073,428,1105,435
237,99,1072,428,1105,435
238,99,1073,428,1104,434
239,99,1076,427,1106,433
240,99,1077,427,1107,433
241,99,1076,427,1106,434
242,99,1077,427,1108,435
243,99,1075,427,1108,436
244,99,1076,427,1108,436
245,99,1076,427,1108,436
246,99,1077,427,1109,436
247,99,1078,426,1109,434
248,99,1080,427,1109,435
249,99,1081,427,1109,436
250,99,1081,427,1109,436
251,99,1083,427,1110,436
252,99,1085,426,1111,436
253,99,1086,426,1111,436
254,99,1087,426,1112,436
255,99,1088,426,1113,436
256,99,1089,426,1114,436
257,99,1090,425,1115,434
258,99,1091,426,1116,435
259,99,1091,426,1116,436
260,99,1092,425,1116,435
261,99,1093,425,1117,434
262,99,1094,426,1119,435
263,99,1094,426,1121,435
264,99,1095,426,1122,435
265,99,1096,426,1122,435
266,99,1098,426,1123,436
267,99,1098,426,1123,436
268,99,1098,426,1123,436
269,99,1099,425,1124,436
270,99,1100,425,1124,436
271,99,1101,425,1125,436
272,99,1102,425,1125,435
273,99,1103,425,1126,435
274,99,1103,425,1126,435
275,99,1104,426,1126,436
276,99,1104,426,1126,436
277,99,1103,426,1124,436
278,99,1103,426,1123,436
279,99,1104,426,1125,437
280,99,1106,426,1127,437
281,99,1107,426,1129,437
282,99,1108,426,1130,438
283,99,1109,426,1131,437
284,99,1110,426,1131,437
285,99,1109,426,1132,437
286,99,1109,426,1132,437
287,99,1108,425,1132,437
288,99,1109,425,1134,437
289,99,1110,425,1134,437
290,99,1110,426,1134,437
291,99,1110,426,1135,437
292,99,1111,426,1135,437
293,99,1111,425,1135,437
294,99,1111,426,1135,437
295,99,1112,426,1136,437
296,99,1112,426,1136,438
297,99,1111,426,1136,437
298,99,1113,425,1137,436
299,99,1114,424,1138,436
300,99,1115,424,1139,436
301,99,1115,424,1139,436
302,99,1115,425,1137,436
303,99,1115,426,1138,437
304,99,1119,426,1141,436
305,99,1121,425,1142,435
306,99,1124,425,1142,435
307,99,1125,425,1143,435
308,99,1125,425,1142,436
309,99,1126,425,1142,436
310,99,1126,426,1142,437
311,99,1127,425,1143,437
312,99,1127,426,1144,438
313,99,1126,426,1143,438
314,99,1126,425,1144,437
315,99,1127,425,1144,437
316,99,1128,426,1145,437
317,99,1128,425,1146,437
318,99,1128,426,1146,438
319,99,1127,425,1146,437
320,99,1127,425,1147,437
321,99,1127,426,1146,437
322,99,1128,426,1147,437
323,99,1129,426,1147,437
324,99,1131,426,1149,437
325,99,1131,426,1149,437
326,99,1132,426,1149,437
327,99,1133,425,1149,436
328,99,1133,426,1150,436
329,99,1134,426,1150,437
330,99,1135,426,1150,437
331,99,1135,426,1150,437
332,99,1136,427,1151,438
333,99,1136,427,1151,437
334,99,1137,427,1153,438
335,99,1137,425,1153,438
336,99,1137,425,1153,438
337,99,1138,426,1154,438
338,99,1138,426,1154,438
339,99,1138,425,1154,437
340,99,1139,424,1155,437
341,99,1140,425,1156,437
342,99,1140,424,1156,436
343,99,1140,424,1156,436
