Frame No.,Vessel ID,X1,Y1,X2,Y2
0,4,1004,420,1010,426
0,3,596,425,603,429
0,2,948,537,964,544
0,1,322,551,336,568
1,6,600,425,602,429
1,5,934,534,941,537
1,4,1000,419,1009,426
1,1,321,551,334,567
2,7,922,532,927,537
2,4,1001,419,1011,426
2,3,595,425,601,429
2,1,321,551,334,567
3,4,1004,419,1012,426
3,1,319,551,333,568
4,4,1002,419,1012,426
4,1,317,551,329,567
5,6,598,424,602,429
5,4,1004,420,1012,425
5,1,319,552,329,566
6,6,597,424,602,429
6,4,1002,419,1011,426
6,1,321,550,329,563
7,6,597,424,603,429
7,4,1001,419,1011,424
7,1,322,546,331,562
8,6,596,424,602,429
8,4,1001,419,1011,425
9,4,1001,420,1012,425
10,4,1000,420,1012,425
11,4,1000,419,1012,425
12,4,1000,420,1012,425
13,14,317,548,325,562
13,6,595,424,603,429
13,4,1000,420,1012,425
14,14,317,548,324,561
14,6,594,424,603,429
14,4,1000,420,1012,425
15,14,316,545,323,559
15,6,595,424,603,429
15,4,1000,420,1012,425
16,14,315,544,323,559
16,6,594,424,602,429
16,4,1000,419,1012,425
17,14,315,543,323,558
17,6,594,424,602,429
17,4,1000,419,1012,425
18,14,316,544,323,558
18,6,595,424,602,429
18,4,1000,419,1012,425
19,6,595,424,602,429
19,4,1001,420,1012,425
20,6,595,424,602,429
20,4,1001,420,1012,425
21,6,595,424,603,429
21,4,1002,419,1012,424
22,4,1002,419,1012,423
23,4,1002,420,1012,424
24,4,1002,420,1012,425
28,39,1002,420,1011,422
29,29,315,544,326,554
29,6,596,425,602,429
33,6,599,426,602,429
34,6,599,426,602,428
34,4,1003,419,1014,424
35,29,312,547,323,558
35,6,599,426,602,428
36,29,314,546,323,555
36,6,599,426,602,428
37,29,313,546,321,555
37,6,599,426,602,428
38,29,313,546,321,554
38,6,599,426,601,428
38,4,1003,419,1014,423
39,29,313,548,320,558
39,6,599,426,601,428
39,4,1004,419,1014,423
40,29,312,547,320,555
40,6,598,425,601,428
40,4,1004,419,1014,423
41,29,312,547,319,554
41,6,598,425,601,428
41,4,1006,419,1015,422
42,6,598,425,600,428
42,4,1007,419,1015,422
43,6,598,426,600,428
43,4,1007,419,1015,422
44,4,1006,419,1014,422
45,29,312,547,322,557
45,4,1005,419,1014,422
46,29,311,547,320,558
46,4,1005,419,1014,421
47,29,310,547,319,559
47,6,598,425,601,428
47,4,1005,419,1014,421
48,29,311,549,319,561
48,6,598,425,600,428
48,4,1005,419,1014,421
49,6,598,425,601,428
49,4,1007,419,1015,421
50,6,598,425,601,428
50,4,1008,420,1015,421
51,6,598,425,600,428
51,4,1007,420,1014,421
52,6,598,425,600,428
52,4,1006,420,1014,421
53,6,598,425,600,429
53,4,1005,420,1014,422
54,6,596,425,600,428
54,4,1006,420,1015,422
55,41,315,547,335,565
55,6,595,425,600,429
55,4,1006,420,1015,422
56,41,316,547,336,566
56,4,1006,420,1015,422
57,41,315,548,333,566
57,4,1006,420,1015,422
58,71,598,425,600,429
58,41,316,546,334,566
58,4,1007,420,1016,422
59,71,598,425,600,429
59,41,317,545,336,566
59,4,1006,419,1015,422
60,71,598,425,601,429
60,41,319,544,337,566
60,4,1006,420,1016,422
61,71,598,425,601,429
61,41,319,545,338,567
61,4,1007,420,1016,422
62,71,597,425,600,429
62,41,318,548,337,568
62,4,1008,419,1016,422
63,71,598,425,601,429
63,41,319,549,337,569
63,4,1008,419,1016,422
64,71,597,426,600,429
64,41,322,550,340,569
64,4,1007,419,1015,422
65,71,597,425,600,429
65,41,323,550,342,569
65,4,1007,420,1014,422
66,71,596,425,600,429
66,41,325,550,344,568
67,71,597,425,600,430
67,41,326,551,345,571
68,71,596,425,600,430
69,71,595,425,600,430
70,71,595,425,600,430
71,71,595,425,600,430
71,41,333,548,349,566
72,71,595,425,600,430
72,41,334,548,350,565
73,71,595,425,600,430
73,41,336,549,351,564
74,71,594,425,600,430
75,71,592,425,600,430
76,71,591,425,599,430
77,71,590,425,600,430
77,41,341,547,356,559
78,71,590,425,599,430
78,41,344,548,358,561
79,71,589,425,599,430
79,41,345,547,360,563
80,71,589,425,599,430
80,41,346,549,361,565
81,97,1008,419,1014,421
81,71,589,425,599,429
81,41,346,546,362,565
82,97,1008,419,1014,421
82,71,590,425,600,429
82,41,348,543,366,561
83,97,1009,419,1016,421
83,71,588,425,599,430
83,41,349,543,368,563
84,71,589,425,599,429
84,41,349,545,368,562
85,71,588,425,599,430
85,41,351,544,371,563
86,71,588,425,599,430
86,41,352,546,370,562
87,71,588,425,599,429
87,41,353,547,371,562
88,71,587,425,599,429
88,41,355,547,373,562
89,71,587,425,599,429
89,41,357,548,374,562
90,71,587,425,599,429
90,41,359,548,376,561
91,71,587,424,599,429
91,41,359,549,376,561
92,71,587,425,600,430
92,41,362,548,381,559
93,97,1009,419,1015,421
93,71,587,425,600,430
93,41,363,548,384,558
94,97,1009,419,1015,421
94,71,587,425,599,430
94,41,362,549,382,557
95,71,587,425,599,430
95,41,362,549,381,559
96,71,587,425,599,430
96,41,364,547,383,558
97,71,587,425,599,430
97,41,365,548,383,559
98,71,587,425,599,430
98,41,366,549,384,559
99,71,587,425,599,430
99,41,367,550,384,559
100,71,587,425,599,430
100,41,367,551,385,560
101,71,587,425,599,430
101,41,368,552,385,561
102,71,587,425,599,430
102,41,370,551,387,560
103,71,587,425,599,430
103,41,372,552,388,561
104,71,587,425,599,430
104,41,374,550,390,560
105,71,587,425,599,430
105,41,375,551,389,561
106,71,587,425,598,430
107,71,587,425,598,430
108,71,587,425,598,430
109,97,1011,420,1015,420
109,71,587,425,598,430
110,71,587,425,597,430
110,41,383,550,393,560
111,71,587,425,597,430
112,71,587,425,597,430
113,71,587,425,597,430
114,71,586,425,597,430
114,41,387,553,394,561
115,71,587,425,597,430
115,41,389,553,395,561
116,71,586,425,596,430
116,41,390,554,398,562
117,97,1012,419,1019,421
117,71,586,425,596,430
117,41,391,553,399,561
118,97,1012,419,1018,421
118,71,586,425,596,430
118,41,391,552,401,562
119,97,1011,419,1017,421
119,71,585,425,596,429
119,41,393,552,405,563
120,97,1011,419,1017,421
120,71,585,425,596,430
120,41,392,552,405,564
121,97,1011,419,1017,421
121,71,585,425,596,429
121,41,393,551,406,565
122,97,1011,420,1016,420
122,71,585,425,597,430
122,41,392,551,406,565
123,71,586,425,597,430
123,41,392,551,406,565
124,71,585,425,597,430
124,41,394,553,407,566
125,71,585,425,597,430
125,41,394,554,405,566
126,71,585,425,597,430
126,41,396,552,407,565
127,71,585,425,597,430
127,41,398,552,408,564
128,120,200,473,202,474
128,71,585,425,597,430
129,71,585,425,597,430
130,71,585,425,597,430
131,71,585,425,597,430
132,71,585,425,597,430
133,71,585,425,597,430
134,125,73,462,79,467
134,71,585,425,597,430
135,71,585,425,597,430
136,71,585,425,597,429
137,71,585,425,597,429
138,71,585,425,597,429
139,119,1012,420,1016,422
139,71,585,425,597,430
140,71,585,425,597,430
141,71,585,425,596,429
142,71,585,425,596,429
143,71,585,425,596,429
144,71,585,425,596,429
145,71,585,425,596,429
146,133,398,552,408,566
146,97,1014,420,1019,421
146,71,585,425,596,429
147,133,399,552,410,566
147,97,1014,420,1018,421
147,71,586,425,596,429
148,133,398,553,411,569
148,97,1014,419,1018,421
148,71,585,424,596,429
149,133,397,552,413,569
149,97,1014,419,1018,421
149,71,585,424,595,429
150,133,397,550,413,567
150,97,1014,419,1018,421
150,71,585,425,595,430
151,133,397,550,413,566
151,97,1014,419,1018,421
151,71,585,424,596,429
152,133,397,551,413,567
152,71,585,424,595,429
153,133,397,552,412,567
153,71,585,425,595,430
154,133,396,552,411,569
154,71,585,425,595,430
155,133,395,552,410,568
155,71,585,425,595,430
156,133,394,553,410,570
156,71,585,425,595,430
157,133,394,552,409,569
158,133,393,551,407,568
159,133,393,552,409,568
160,133,392,552,408,569
161,141,592,426,594,429
161,133,393,553,409,571
162,141,593,426,594,429
162,133,393,557,408,576
163,141,593,426,594,429
163,133,391,554,407,574
164,141,592,425,594,429
164,133,390,553,407,575
165,141,592,425,595,430
165,133,389,554,406,577
166,141,592,425,595,430
166,133,389,556,407,580
167,141,592,425,595,430
167,133,389,556,405,578
168,141,592,425,594,430
168,133,389,556,405,579
169,141,592,425,594,430
169,133,389,556,406,576
170,141,592,425,594,430
170,133,390,558,406,577
171,141,592,425,594,430
171,133,391,558,406,577
172,141,591,425,594,430
172,133,391,558,406,577
173,141,591,426,594,430
173,133,392,557,407,577
174,141,590,426,594,430
174,133,393,557,407,576
175,133,392,557,406,576
176,133,392,556,406,575
177,133,393,555,407,575
178,141,589,427,594,431
178,133,393,557,407,575
179,141,589,426,594,430
179,133,394,557,407,574
180,141,589,426,594,430
180,133,393,557,406,573
181,141,590,426,594,430
181,133,394,557,406,573
182,133,393,557,405,572
183,133,393,557,405,572
184,133,393,557,405,572
185,133,393,558,405,572
186,133,393,557,406,572
186,71,583,425,594,430
187,133,393,555,405,571
187,71,583,426,594,430
188,133,394,558,405,573
188,71,584,425,595,430
189,133,395,559,405,573
189,71,584,426,595,430
190,133,396,557,405,570
190,71,585,426,595,431
191,133,397,557,406,571
191,71,584,426,594,431
192,133,396,554,406,568
194,141,590,426,595,431
195,141,590,426,594,431
196,141,590,426,594,432
197,141,590,426,594,432
198,141,590,426,594,431
199,141,590,426,593,431
199,133,394,558,402,573
200,141,587,425,592,430
200,133,393,557,402,572
206,150,394,564,408,576
207,150,396,567,410,576
208,150,397,567,407,574
209,141,583,426,592,430
210,141,583,426,592,430
211,141,583,427,593,430
212,157,401,569,411,575
212,156,96,463,102,476
212,141,582,427,593,430
