Frame No.,Latitude,Longitude
33,32.70317,-117.233164167
33,32.7031765,-117.233162833
33,32.7031965,-117.233157
33,32.703203333,-117.233155333
33,32.703234167,-117.233145833
33,32.703242667,-117.233143167
33,32.703260167,-117.233136833
154,32.703308167,-117.233123167
154,32.703327,-117.233118833
154,32.703334833,-117.2331165
274,32.7034185,-117.2330905
274,32.703422333,-117.233090333
274,32.703443167,-117.233083333
274,32.703452333,-117.233080833
274,32.703459,-117.233079
395,32.703478333,-117.233073167
395,32.7034835,-117.233068
395,32.703494,-117.233064833
395,32.703498833,-117.233062167
395,32.703506833,-117.233059833
395,32.703541,-117.233049833
395,32.703550833,-117.233045833
395,32.703556333,-117.233041333
514,32.703561833,-117.233039
514,32.703570833,-117.233035167
514,32.703597167,-117.2330235
514,32.703619167,-117.2330175
514,32.703636333,-117.233012667
514,32.703648667,-117.233007833
634,32.7036955,-117.232982833
634,32.703702667,-117.232979333
634,32.7037205,-117.232971667
634,32.703740667,-117.232963667
634,32.703749167,-117.2329615
752,32.703755,-117.232959667
752,32.703758833,-117.2329585
752,32.7037645,-117.232956833
752,32.703768333,-117.232956333
752,32.703774,-117.2329555
752,32.703777667,-117.232955167
752,32.703781167,-117.232955167
752,32.703786833,-117.232955667
752,32.703791667,-117.232957333
752,32.703794667,-117.232958667
752,32.7038,-117.2329615
752,32.7038035,-117.232965167
752,32.703809833,-117.232972167
752,32.703811667,-117.232975333
752,32.703814333,-117.232980667
752,32.703820333,-117.232995667
871,32.703821667,-117.232999833
871,32.7038245,-117.233010833
871,32.703825167,-117.233019833
871,32.703825833,-117.233024833
871,32.7038265,-117.233032167
871,32.7038265,-117.233038
871,32.703824833,-117.233047
871,32.703824333,-117.233052667
871,32.703823667,-117.233058333
871,32.703823167,-117.233063833
871,32.703817167,-117.233082167
871,32.703814,-117.2330935
871,32.703812667,-117.2330995
871,32.7038085,-117.233106
988,32.703796167,-117.2331385
988,32.703780167,-117.233176333
988,32.70377,-117.2332055
988,32.703764333,-117.233221
988,32.703749833,-117.233260333
1093,32.703738333,-117.233318833
1093,32.703735167,-117.233335
1093,32.703723833,-117.233398667
1093,32.703718333,-117.233436667
1093,32.7037155,-117.233453
1299,32.703689667,-117.233653167
1299,32.703688833,-117.233663833
1299,32.7036885,-117.2336745
1299,32.703689167,-117.233722667
1403,32.703684667,-117.23379
1403,32.703684333,-117.233809667
1403,32.703682667,-117.233819333
1403,32.7036825,-117.233829333
1403,32.703677833,-117.233858667
1403,32.7036755,-117.233867667
1403,32.7036735,-117.233876167
1403,32.7036715,-117.233882333
1403,32.703660333,-117.233905833
1403,32.7036545,-117.233916833
1505,32.703635167,-117.233948833
1505,32.70361,-117.233979167
1505,32.703596333,-117.233990833
1505,32.7035905,-117.233997167
1505,32.703573667,-117.234011
1609,32.703512,-117.234057167
1609,32.7035045,-117.2340635
1609,32.703492833,-117.2340735
1609,32.703476833,-117.2340875
1609,32.703470333,-117.234093667
1609,32.703440833,-117.234123
1609,32.703437,-117.234126333
1718,32.703422833,-117.234140667
1718,32.703419333,-117.234144167
1718,32.703392333,-117.2341665
1718,32.703386667,-117.2341675
1718,32.703379667,-117.234171833
1718,32.703371833,-117.234177167
1718,32.703365167,-117.2341815
1718,32.703344833,-117.234197
1718,32.7033415,-117.234199167
1833,32.7033385,-117.234202
1833,32.7033355,-117.234204333
1833,32.7033305,-117.2342085
1833,32.703306167,-117.234226667
1833,32.703301667,-117.234229667
1833,32.703295333,-117.234233
1833,32.70329,-117.234237167
1833,32.7032815,-117.234242
1833,32.703278667,-117.234244333
1833,32.703274333,-117.234247667
1833,32.703267833,-117.234251833
1937,32.703251833,-117.2342745
1937,32.703248,-117.234277667
2039,32.703207,-117.2343125
2039,32.703199667,-117.234318333
2039,32.703189833,-117.234324333
2039,32.703175333,-117.234337333
2039,32.703153667,-117.234355167
2142,32.703107,-117.2343805
2142,32.703089,-117.234391
2245,32.703047667,-117.234400667
2349,32.703026667,-117.234402333
2349,32.702982833,-117.2344035
2449,32.702956167,-117.234399167
2449,32.7029345,-117.234395167
2449,32.702922667,-117.234385667
2551,32.702912167,-117.234379833
2551,32.702894667,-117.2343725
2551,32.7028845,-117.234361833
2551,32.702880167,-117.234355333
2653,32.702880833,-117.234350333
2653,32.702876667,-117.234336833
2653,32.702873667,-117.234329167
2653,32.702872833,-117.234325167
2771,32.7028735,-117.2343185
2771,32.702873167,-117.234316333
2771,32.702872,-117.234313667
2771,32.702871167,-117.234313
2771,32.7028755,-117.234307833
2877,32.702877333,-117.234305
2877,32.702878333,-117.234303667
2877,32.702881667,-117.234303833
2877,32.7028855,-117.234301333
2877,32.702889667,-117.234295
2877,32.702891667,-117.234299
2981,32.702901167,-117.234300667
2981,32.7029075,-117.234298667
2981,32.702912833,-117.234296667
2981,32.702915167,-117.234294333
2981,32.702916833,-117.2342905
2981,32.702919167,-117.234286
2981,32.702918667,-117.234280833
2981,32.702918833,-117.234276833
2981,32.702917167,-117.234273667
