Frame No.,Latitude,Longitude
1153,32.6472595,-117.1175335
1153,32.647257167,-117.1175385
1260,32.647199167,-117.117654667
1260,32.647193667,-117.117664833
1260,32.64719,-117.117672167
1260,32.647180333,-117.11769
1260,32.6471765,-117.117696833
1260,32.647172667,-117.117703833
1260,32.647151167,-117.117744167
1260,32.647146667,-117.1177515
1367,32.6470965,-117.117860667
1367,32.647015667,-117.118082833
1484,32.6469595,-117.118285167
1484,32.646908833,-117.118534333
1484,32.646876667,-117.118790667
1590,32.646866667,-117.119042167
1590,32.646881,-117.119372167
1590,32.646913833,-117.119612167
1590,32.646964,-117.119849167
1697,32.647042333,-117.1201175
1697,32.6471435,-117.120375833
1697,32.647232333,-117.120557
1802,32.647372667,-117.120789833
1802,32.647681667,-117.121198333
1907,32.648137333,-117.121713833
2014,32.6489415,-117.122453833
0,32.702917333,-117.234269333
0,32.702917167,-117.2342655
0,32.7029135,-117.234253667
0,32.702912333,-117.234249667
0,32.702911667,-117.234243667
0,32.702904,-117.234217
89,32.7029,-117.234197
89,32.7028945,-117.2341815
89,32.702888833,-117.234166833
193,32.702868833,-117.234111
193,32.70287,-117.234105333
299,32.702869833,-117.234098167
299,32.702872167,-117.2340815
299,32.702873833,-117.234075333
299,32.702879333,-117.234066833
299,32.702884167,-117.234056333
299,32.702886333,-117.2340515
299,32.702890167,-117.234043667
299,32.702891667,-117.234038
299,32.702895333,-117.234030833
299,32.702899,-117.234025167
404,32.7029055,-117.234012333
404,32.702918667,-117.233984
404,32.702920667,-117.233978
404,32.702925833,-117.233967
404,32.702928333,-117.233961333
519,32.702963833,-117.233885167
519,32.702966167,-117.233880833
519,32.702971,-117.233868833
519,32.7029725,-117.233864667
519,32.702976667,-117.233857833
519,32.702980667,-117.2338495
519,32.702984,-117.233843333
519,32.702988167,-117.2338345
519,32.702993,-117.2338245
519,32.702997833,-117.233814
625,32.703001333,-117.233803833
625,32.703069333,-117.233650333
836,32.703233833,-117.2333485
836,32.703243833,-117.2333315
942,32.703391667,-117.233020167
942,32.7033935,-117.233016167
1367,32.703812167,-117.232191333
1367,32.703822,-117.232173667
1367,32.703825667,-117.232167333
1590,32.704232667,-117.231522333
1697,32.7044665,-117.231170667
1697,32.704507167,-117.23111
1697,32.7045115,-117.2311035
1697,32.704516,-117.231097
2014,32.705243667,-117.230097833
2121,32.7052995,-117.229995833
2121,32.7053415,-117.229901667
2121,32.705388833,-117.229763833
2226,32.705469333,-117.229446833
2449,32.705652,-117.228630667
2570,32.705828833,-117.228067
2686,32.705926833,-117.227784333
2793,32.706000667,-117.227548167
2899,32.706147,-117.226990667
3005,32.706295167,-117.226478667
3005,32.706314167,-117.226375167
3005,32.706318333,-117.226324833
3111,32.706318667,-117.226273833
3111,32.706315333,-117.226231167
3111,32.706307,-117.226181167
3111,32.706298333,-117.2261475
3111,32.706295667,-117.226139667
3111,32.706278833,-117.226102833
3111,32.706252,-117.226061167
3111,32.7062375,-117.226042
3111,32.7062215,-117.226024833
3111,32.706192167,-117.225997833
3111,32.706161,-117.225976333
3217,32.706127667,-117.225959167
3217,32.706100333,-117.225948167
3217,32.706063,-117.225938667
3217,32.7060415,-117.225935667
3217,32.705997667,-117.225934333
3217,32.705945833,-117.225937167
3217,32.705885167,-117.225949
3217,32.705803167,-117.225974333
3322,32.705695333,-117.226024333
3322,32.705533833,-117.226117333
3563,32.705029833,-117.226466167
3563,32.7048085,-117.226653833
3563,32.704742667,-117.2267275
